id,AssetID,AMCYears,WarrantyYears,HasInsurance,CommissionDate
AI215,A215,4,2,YES,2020-12-23 01:24:15.557569
AI216,A216,3,4,NO,2020-12-23 01:24:15.557569
AI217,A217,2,3,YES,2020-10-28 01:24:15.557569
AI218,A218,2,3,NO,2020-10-28 01:24:15.557569
AI219,A219,3,2,NO,2022-03-16 01:24:15.557569
AI220,A220,1,3,NO,2022-03-16 01:24:15.557569
AI221,A221,4,3,YES,2020-12-23 01:24:15.557569
AI222,A222,3,4,YES,2024-01-01 01:24:15.557569
AI223,A223,3,2,YES,2024-01-01 01:24:15.557569
AI224,A224,2,1,NO,2022-03-16 01:24:15.557569
AI225,A225,2,1,YES,2024-01-01 01:24:15.557569
AI226,A226,4,3,NO,2020-12-23 01:24:15.557569
AI227,A227,4,1,YES,2023-07-29 01:24:15.557569
AI228,A228,3,4,YES,2020-12-23 01:24:15.557569
AI229,A229,1,4,NO,2024-01-01 01:24:15.557569
AI230,A230,1,1,YES,2020-10-28 01:24:15.557569
AI231,A231,1,3,NO,2020-12-23 01:24:15.557569
AI232,A232,2,3,NO,2022-03-16 01:24:15.557569
AI233,A233,2,3,NO,2023-07-29 01:24:15.557569
AI234,A234,2,3,YES,2020-12-23 01:24:15.557569
AI235,A235,1,2,NO,2022-03-16 01:24:15.557569
AI236,A236,4,2,YES,2022-03-16 01:24:15.557569
AI237,A237,2,1,YES,2023-07-29 01:24:15.557569
AI238,A238,1,3,NO,2023-07-29 01:24:15.557569
AI239,A239,2,3,NO,2020-10-28 01:24:15.557569
AI240,A240,3,1,NO,2024-01-01 01:24:15.557569
AI241,A241,2,2,NO,2020-12-23 01:24:15.557569
AI242,A242,3,4,YES,2023-07-29 01:24:15.557569
AI243,A243,1,3,YES,2020-10-28 01:24:15.557569
AI244,A244,1,2,YES,2022-03-16 01:24:15.557569
AI245,A245,4,4,NO,2023-07-29 01:24:15.557569
AI246,A246,4,1,YES,2022-03-16 01:24:15.557569
AI247,A247,2,4,NO,2020-12-23 01:24:15.557569
AI248,A248,1,2,YES,2024-01-01 01:24:15.557569
AI249,A249,3,4,YES,2020-10-28 01:24:15.557569
AI250,A250,4,4,NO,2020-10-28 01:24:15.557569
AI251,A251,3,3,YES,2022-03-16 01:24:15.557569
AI252,A252,1,3,YES,2020-10-28 01:24:15.557569
AI253,A253,4,4,NO,2020-10-28 01:24:15.557569
AI254,A254,1,1,YES,2022-03-16 01:24:15.557569
AI255,A255,3,2,NO,2024-01-01 01:24:15.557569
AI256,A256,1,1,YES,2020-10-28 01:24:15.557569
AI257,A257,1,4,NO,2023-07-29 01:24:15.557569
AI258,A258,3,2,NO,2020-12-23 01:24:15.557569
AI259,A259,1,1,YES,2020-10-28 01:24:15.557569
AI260,A260,3,2,YES,2024-01-01 01:24:15.557569
AI261,A261,1,4,NO,2020-10-28 01:24:15.557569
AI262,A262,4,4,NO,2024-01-01 01:24:15.557569
AI263,A263,2,3,NO,2023-07-29 01:24:15.557569
AI264,A264,3,3,YES,2020-10-28 01:24:15.557569
AI265,A265,3,2,YES,2022-03-16 01:24:15.557569
