AssetID,OEE,id
A169,58.27,OEE169
A170,66.13,OEE170
A171,62.85,OEE171
A172,59.18,OEE172
A173,64.34,OEE173
A174,64.99,OEE174
A175,61.69,OEE175
A176,65.03,OEE176
A177,66.44,OEE177
A178,57.57,OEE178
A179,66.65,OEE179
A180,62.24,OEE180
A181,63.13,OEE181
A182,68.16,OEE182
A183,60.77,OEE183
A184,71.55,OEE184
A185,64.73,OEE185
A186,60.45,OEE186
A187,59.65,OEE187
A188,64.55,OEE188
A189,65.13,OEE189
A190,65.2,OEE190
A191,60.0,OEE191
A192,62.43,OEE192
A193,59.56,OEE193
A194,62.09,OEE194
A195,62.8,OEE195
A196,62.85,OEE196
A197,68.0,OEE197
A198,67.45,OEE198
A199,62.53,OEE199
A200,65.44,OEE200
A201,60.58,OEE201
A202,66.03,OEE202
A203,66.13,OEE203
A204,68.24,OEE204
A205,66.85,OEE205
A206,66.6,OEE206
A207,60.79,OEE207
A208,58.1,OEE208
A209,55.53,OEE209
A210,57.77,OEE210
A211,64.22,OEE211
A212,69.17,OEE212
A213,56.83,OEE213
A214,57.4,OEE214
A215,66.87,OEE215
A216,67.22,OEE216
A217,68.62,OEE217
A218,66.37,OEE218
A219,61.9,OEE219
A220,60.7,OEE220
A221,66.55,OEE221
A222,63.81,OEE222
A223,62.47,OEE223
A224,58.05,OEE224
A225,57.75,OEE225
A226,70.6,OEE226
A227,66.66,OEE227
A228,66.36,OEE228
A229,56.32,OEE229
A230,56.67,OEE230
A231,59.1,OEE231
A232,60.02,OEE232
A233,61.02,OEE233
A234,61.1,OEE234
A235,58.3,OEE235
A236,57.43,OEE236
A237,61.41,OEE237
A238,64.9,OEE238
A239,59.78,OEE239
A240,66.01,OEE240
A241,62.92,OEE241
A242,66.16,OEE242
A243,62.63,OEE243
A244,68.13,OEE244
A245,63.86,OEE245
A246,60.04,OEE246
A247,66.08,OEE247
A248,62.04,OEE248
A249,63.45,OEE249
A250,61.26,OEE250
A251,61.99,OEE251
A252,60.15,OEE252
A253,67.09,OEE253
A254,58.71,OEE254
A255,67.71,OEE255
A256,67.66,OEE256
A257,61.67,OEE257
A258,60.3,OEE258
A259,59.72,OEE259
A260,65.51,OEE260
A261,59.06,OEE261
A262,65.21,OEE262
A263,70.66,OEE263
A264,59.17,OEE264
A265,61.89,OEE265
