id,AssetID,ComplianceStatus,RegulatoryReferences,Documentation
ComplianceRecord_A35,A35,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A36,A36,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A37,A37,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A38,A38,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A39,A39,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A40,A40,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A41,A41,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A42,A42,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A43,A43,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A44,A44,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A45,A45,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A46,A46,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A47,A47,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A48,A48,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A49,A49,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A50,A50,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A51,A51,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A52,A52,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A53,A53,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A54,A54,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A55,A55,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A56,A56,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A57,A57,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A58,A58,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A59,A59,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A60,A60,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A61,A61,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A62,A62,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A63,A63,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A64,A64,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A65,A65,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A66,A66,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A67,A67,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A68,A68,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A69,A69,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A70,A70,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A71,A71,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A72,A72,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A73,A73,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A74,A74,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A75,A75,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A76,A76,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A77,A77,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A78,A78,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A79,A79,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A80,A80,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A81,A81,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A82,A82,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A83,A83,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A84,A84,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A85,A85,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A86,A86,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A87,A87,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A88,A88,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A89,A89,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A90,A90,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A91,A91,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A92,A92,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A93,A93,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A94,A94,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A95,A95,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A96,A96,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A97,A97,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A98,A98,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A99,A99,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A100,A100,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A101,A101,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A102,A102,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A103,A103,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A104,A104,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A105,A105,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A106,A106,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A107,A107,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A108,A108,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A109,A109,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A110,A110,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A111,A111,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A112,A112,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A113,A113,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A114,A114,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A115,A115,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A116,A116,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A117,A117,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A118,A118,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A119,A119,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A120,A120,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A121,A121,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A122,A122,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A123,A123,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A124,A124,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A125,A125,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A126,A126,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A127,A127,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A128,A128,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A129,A129,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A130,A130,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A131,A131,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A132,A132,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A133,A133,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A134,A134,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A135,A135,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A136,A136,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A137,A137,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A138,A138,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A139,A139,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A140,A140,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A141,A141,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A142,A142,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A143,A143,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A144,A144,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A145,A145,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A146,A146,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A147,A147,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A148,A148,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A149,A149,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A150,A150,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A151,A151,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A152,A152,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A153,A153,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A154,A154,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A155,A155,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A156,A156,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A157,A157,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A158,A158,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A159,A159,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A160,A160,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A161,A161,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A162,A162,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A163,A163,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A164,A164,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A165,A165,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A166,A166,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A167,A167,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A168,A168,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A169,A169,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A170,A170,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A171,A171,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A172,A172,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A173,A173,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A174,A174,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A175,A175,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A176,A176,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A177,A177,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A178,A178,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A179,A179,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A180,A180,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A181,A181,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A182,A182,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A183,A183,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A184,A184,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A185,A185,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A186,A186,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A187,A187,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A188,A188,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A189,A189,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A190,A190,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A191,A191,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A192,A192,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A193,A193,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A194,A194,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A195,A195,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A196,A196,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A197,A197,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A198,A198,Compliant,Regulatory references details...,Documentation details...
