id,Name,WOType,Task,POID,ProductID,BatchID,AssetType,AssetID,Status,StartDate,EndDate,FacilityID,SiteID,UnitProcedureID,BatchQty
WO-BPO2-2-1-LIMS,BPO2-2-1-LIMS-P1002-F-1-S5,LIMS,Chemical Analysis,PO2,P1002,BPO2-2-1,HPLC,A109,Cancelled,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-2-CHA,70
WO-BPO2-2-1-LIMS,BPO2-2-1-LIMS-P1002-F-1-S5,LIMS,Physical Testing,PO2,P1002,BPO2-2-1,Particle Size Analyzers,A110,Cancelled,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-3-PHT,70
WO-BPO2-2-1-LIMS,BPO2-2-1-LIMS-P1002-F-1-S5,LIMS,Stability Testing,PO2,P1002,BPO2-2-1,Temperature and Humidity Controllers,A112,Cancelled,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-5-STT,70
WO-BPO2-2-2-Production-stage1,BPO2-2-2-Production-stage1-P1002-F-1-S5,Production-stage1,Mixing ingredients,PO2,P1002,BPO2-2-2,Mixers,A97,Planned,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-1-MII,70
WO-BPO2-2-2-Production-stage1,BPO2-2-2-Production-stage1-P1002-F-1-S5,Production-stage1,Reactors,PO2,P1002,BPO2-2-2,Reactors,A101,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.754392,F-1-S5,S5,PR-6-RER,70
WO-BPO2-2-2-Production-stage1,BPO2-2-2-Production-stage1-P1002-F-1-S5,Production-stage1,Blending,PO2,P1002,BPO2-2-2,Blenders,A100,Cancelled,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-4-BLB,70
WO-BPO2-2-2-LIMS,BPO2-2-2-LIMS-P1002-F-1-S5,LIMS,Chemical Analysis,PO2,P1002,BPO2-2-2,HPLC,A109,Planned,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-2-CHA,70
WO-BPO2-2-2-LIMS,BPO2-2-2-LIMS-P1002-F-1-S5,LIMS,Physical Testing,PO2,P1002,BPO2-2-2,Particle Size Analyzers,A110,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.762394,F-1-S5,S5,LI-3-PHT,70
WO-BPO2-2-2-LIMS,BPO2-2-2-LIMS-P1002-F-1-S5,LIMS,Microbiological Testing,PO2,P1002,BPO2-2-2,Incubators,A108,Planned,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-1-MIT,70
WO-BPO2-2-3-Production-stage1,BPO2-2-3-Production-stage1-P1002-F-1-S5,Production-stage1,Mixing ingredients,PO2,P1002,BPO2-2-3,Mixers,A97,Cancelled,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-1-MII,70
WO-BPO2-2-3-Production-stage1,BPO2-2-3-Production-stage1-P1002-F-1-S5,Production-stage1,Extraction equipment,PO2,P1002,BPO2-2-3,Extraction equipment,A103,Completed,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-8-EXE,70
WO-BPO2-2-3-Production-stage1,BPO2-2-3-Production-stage1-P1002-F-1-S5,Production-stage1,Distillation equipment,PO2,P1002,BPO2-2-3,Distillation equipment,A102,Cancelled,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-7-DIE,70
WO-BPO2-2-3-LIMS,BPO2-2-3-LIMS-P1002-F-1-S5,LIMS,Chemical Analysis,PO2,P1002,BPO2-2-3,HPLC,A109,On Hold,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-2-CHA,70
WO-BPO2-2-3-LIMS,BPO2-2-3-LIMS-P1002-F-1-S5,LIMS,Physical Testing,PO2,P1002,BPO2-2-3,Particle Size Analyzers,A110,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.774792,F-1-S5,S5,LI-3-PHT,70
WO-BPO2-2-3-LIMS,BPO2-2-3-LIMS-P1002-F-1-S5,LIMS,Environmental Monitoring,PO2,P1002,BPO2-2-3,Air Particle Counters,A111,Completed,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-4-ENM,70
WO-BPO2-2-4-Production-stage1,BPO2-2-4-Production-stage1-P1002-F-1-S5,Production-stage1,Blending,PO2,P1002,BPO2-2-4,Blenders,A100,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.778864,F-1-S5,S5,PR-4-BLB,70
WO-BPO2-2-4-Production-stage1,BPO2-2-4-Production-stage1-P1002-F-1-S5,Production-stage1,Extraction equipment,PO2,P1002,BPO2-2-4,Extraction equipment,A103,Cancelled,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-8-EXE,70
WO-BPO2-2-4-LIMS,BPO2-2-4-LIMS-P1002-F-1-S5,LIMS,Stability Testing,PO2,P1002,BPO2-2-4,Temperature and Humidity Controllers,A112,On Hold,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-5-STT,70
WO-BPO2-2-4-LIMS,BPO2-2-4-LIMS-P1002-F-1-S5,LIMS,Environmental Monitoring,PO2,P1002,BPO2-2-4,Air Particle Counters,A111,Cancelled,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-4-ENM,70
WO-BPO2-2-4-LIMS,BPO2-2-4-LIMS-P1002-F-1-S5,LIMS,Physical Testing,PO2,P1002,BPO2-2-4,Particle Size Analyzers,A110,Completed,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-3-PHT,70
WO-BPO2-2-5-Production-stage1,BPO2-2-5-Production-stage1-P1002-F-1-S5,Production-stage1,Distillation equipment,PO2,P1002,BPO2-2-5,Distillation equipment,A102,Planned,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-7-DIE,70
WO-BPO2-2-5-Production-stage1,BPO2-2-5-Production-stage1-P1002-F-1-S5,Production-stage1,Milling,PO2,P1002,BPO2-2-5,Mills,A99,Completed,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-3-MIM,70
WO-BPO2-2-5-Production-stage1,BPO2-2-5-Production-stage1-P1002-F-1-S5,Production-stage1,Blending,PO2,P1002,BPO2-2-5,Blenders,A100,On Hold,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-4-BLB,70
WO-BPO2-2-5-LIMS,BPO2-2-5-LIMS-P1002-F-1-S5,LIMS,Stability Testing,PO2,P1002,BPO2-2-5,Temperature and Humidity Controllers,A112,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.799049,F-1-S5,S5,LI-5-STT,70
WO-BPO2-2-5-LIMS,BPO2-2-5-LIMS-P1002-F-1-S5,LIMS,Chemical Analysis,PO2,P1002,BPO2-2-5,HPLC,A109,Cancelled,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-2-CHA,70
WO-BPO2-2-5-LIMS,BPO2-2-5-LIMS-P1002-F-1-S5,LIMS,Physical Testing,PO2,P1002,BPO2-2-5,Particle Size Analyzers,A110,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.802049,F-1-S5,S5,LI-3-PHT,70
WO-BPO2-2-6-Production-stage1,BPO2-2-6-Production-stage1-P1002-F-1-S5,Production-stage1,Milling,PO2,P1002,BPO2-2-6,Mills,A99,Completed,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-3-MIM,70
WO-BPO2-2-6-Production-stage1,BPO2-2-6-Production-stage1-P1002-F-1-S5,Production-stage1,Extraction equipment,PO2,P1002,BPO2-2-6,Extraction equipment,A103,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.811048,F-1-S5,S5,PR-8-EXE,70
WO-BPO2-2-6-LIMS,BPO2-2-6-LIMS-P1002-F-1-S5,LIMS,Stability Testing,PO2,P1002,BPO2-2-6,Temperature and Humidity Controllers,A112,Cancelled,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-5-STT,70
WO-BPO2-2-6-LIMS,BPO2-2-6-LIMS-P1002-F-1-S5,LIMS,Physical Testing,PO2,P1002,BPO2-2-6,Particle Size Analyzers,A110,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.822049,F-1-S5,S5,LI-3-PHT,70
WO-BPO2-2-6-LIMS,BPO2-2-6-LIMS-P1002-F-1-S5,LIMS,Microbiological Testing,PO2,P1002,BPO2-2-6,Incubators,A108,On Hold,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,LI-1-MIT,70
WO-BPO2-2-7-Production-stage1,BPO2-2-7-Production-stage1-P1002-F-1-S5,Production-stage1,Mixing ingredients,PO2,P1002,BPO2-2-7,Mixers,A97,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.828047,F-1-S5,S5,PR-1-MII,70
WO-BPO2-2-7-Production-stage1,BPO2-2-7-Production-stage1-P1002-F-1-S5,Production-stage1,Blending,PO2,P1002,BPO2-2-7,Blenders,A100,Planned,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-4-BLB,70
WO-BPO2-2-7-Production-stage1,BPO2-2-7-Production-stage1-P1002-F-1-S5,Production-stage1,Reactors,PO2,P1002,BPO2-2-7,Reactors,A101,Planned,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-6-RER,70
WO-BPO2-2-7-LIMS,BPO2-2-7-LIMS-P1002-F-1-S5,LIMS,Physical Testing,PO2,P1002,BPO2-2-7,Particle Size Analyzers,A110,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.837047,F-1-S5,S5,LI-3-PHT,70
WO-BPO2-2-7-LIMS,BPO2-2-7-LIMS-P1002-F-1-S5,LIMS,Environmental Monitoring,PO2,P1002,BPO2-2-7,Air Particle Counters,A111,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.838575,F-1-S5,S5,LI-4-ENM,70
WO-BPO2-2-7-LIMS,BPO2-2-7-LIMS-P1002-F-1-S5,LIMS,Stability Testing,PO2,P1002,BPO2-2-7,Temperature and Humidity Controllers,A112,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.839618,F-1-S5,S5,LI-5-STT,70
WO-BPO2-2-8-Production-stage1,BPO2-2-8-Production-stage1-P1002-F-1-S5,Production-stage1,Granulation,PO2,P1002,BPO2-2-8,Granulators,A98,Cancelled,2024-06-13 09:50:15.755386,2024-06-13 09:50:15.755386,F-1-S5,S5,PR-2-GRG,50
WO-BPO2-2-8-Production-stage1,BPO2-2-8-Production-stage1-P1002-F-1-S5,Production-stage1,Mixing ingredients,PO2,P1002,BPO2-2-8,Mixers,A97,In Progress,2024-06-13 09:50:15.755386,2024-06-13 09:50:16.842698,F-1-S5,S5,PR-1-MII,50
