id,AssetID,Temperature,Vibration,Noise,Pressure,Throughput
AM167,A167,21.12,16.44,58.13,0.71,75.49
AM168,A168,22.61,11.18,50.39,0.79,82.25
AM169,A169,20.78,12.24,58.77,0.73,89.43
AM170,A170,25.06,17.6,57.55,0.74,82.88
AM171,A171,21.89,13.64,50.78,0.73,80.94
AM172,A172,20.83,14.69,55.51,0.76,77.09
AM173,A173,20.78,12.29,51.97,0.71,75.38
AM174,A174,24.14,19.3,56.98,0.77,74.15
AM175,A175,24.28,12.1,53.84,0.72,82.22
AM176,A176,21.78,14.88,54.31,0.7,83.45
AM177,A177,22.76,11.88,59.1,0.8,82.28
AM178,A178,25.18,11.84,59.4,0.8,89.11
AM179,A179,27.8,11.61,53.22,0.71,74.57
AM180,A180,18.11,13.05,51.87,0.72,87.09
AM181,A181,19.01,10.59,52.07,0.78,87.35
AM182,A182,20.29,13.94,57.8,0.79,82.95
AM183,A183,24.26,11.61,50.71,0.79,82.71
AM184,A184,20.58,8.11,42.84,0.83,96.76
AM185,A185,25.45,11.22,56.38,0.76,86.51
AM186,A186,23.12,11.52,53.79,0.75,88.72
AM187,A187,19.33,14.37,50.03,0.75,72.08
AM188,A188,18.04,14.8,52.36,0.74,70.63
AM189,A189,20.81,12.52,59.65,0.79,71.63
AM190,A190,19.85,11.4,57.6,0.78,81.89
AM191,A191,21.72,18.99,53.98,0.72,88.55
AM192,A192,27.33,11.9,56.79,0.8,84.86
AM193,A193,25.66,17.78,58.74,0.72,85.92
AM194,A194,18.86,19.66,51.77,0.75,76.47
AM195,A195,23.51,12.49,56.36,0.72,70.74
AM196,A196,24.81,16.28,52.29,0.73,79.96
AM197,A197,20.23,19.13,55.32,0.77,77.0
AM198,A198,23.24,14.74,50.94,0.7,80.37
AM199,A199,24.37,11.66,51.1,0.74,83.47
AM200,A200,21.93,16.77,52.84,0.8,75.99
AM201,A201,24.85,11.77,54.61,0.73,87.66
AM202,A202,19.05,11.45,54.67,0.79,70.52
AM203,A203,23.08,14.01,51.11,0.71,70.99
AM204,A204,26.9,12.57,59.85,0.76,88.39
AM205,A205,25.05,19.38,54.2,0.76,81.46
AM206,A206,25.79,15.61,51.39,0.73,76.95
AM207,A207,21.5,13.57,55.77,0.73,84.4
AM208,A208,23.16,18.32,59.55,0.74,83.03
AM209,A209,19.68,19.0,54.63,0.79,81.79
AM210,A210,27.6,17.21,51.7,0.74,79.83
AM211,A211,20.67,13.1,51.97,0.78,85.46
AM212,A212,23.84,15.43,51.56,0.77,86.6
AM213,A213,26.74,14.62,52.35,0.78,78.07
AM214,A214,20.7,10.7,54.75,0.79,85.03
AM215,A215,19.38,12.23,56.91,0.79,89.69
AM216,A216,19.77,14.4,54.71,0.74,71.28
AM217,A217,25.25,14.45,56.49,0.8,87.1
AM218,A218,18.47,11.39,55.31,0.79,70.88
AM219,A219,21.42,18.18,59.0,0.78,73.75
AM220,A220,22.87,16.03,56.75,0.75,77.3
AM221,A221,27.86,17.22,53.52,0.71,70.57
AM222,A222,22.03,14.85,56.1,0.77,81.7
AM223,A223,26.3,11.17,53.55,0.74,83.99
AM224,A224,26.55,19.38,58.05,0.73,89.97
AM225,A225,24.25,11.17,51.36,0.79,78.77
AM226,A226,24.44,7.16,44.23,0.87,97.58
AM227,A227,18.73,12.37,57.55,0.77,73.41
AM228,A228,21.75,18.21,58.96,0.73,82.04
AM229,A229,19.38,14.45,58.79,0.7,80.86
AM230,A230,19.76,19.46,56.71,0.72,75.42
AM231,A231,23.34,15.01,50.84,0.74,75.78
AM232,A232,26.38,15.74,56.86,0.76,87.53
AM233,A233,19.28,16.1,56.07,0.72,71.81
AM234,A234,19.69,15.84,55.21,0.73,87.89
AM235,A235,22.67,14.69,50.47,0.74,83.04
AM236,A236,27.55,16.29,54.52,0.74,85.95
AM237,A237,18.56,14.64,55.81,0.79,74.23
AM238,A238,19.01,14.8,50.43,0.74,73.25
AM239,A239,26.53,16.91,55.29,0.75,86.54
AM240,A240,25.08,16.56,56.86,0.79,83.98
AM241,A241,21.95,12.71,53.78,0.77,77.45
AM242,A242,20.51,14.26,51.83,0.72,73.14
AM243,A243,26.37,16.59,57.71,0.77,73.06
AM244,A244,19.84,10.12,52.22,0.77,86.35
AM245,A245,24.33,17.96,52.6,0.74,89.21
AM246,A246,25.59,19.95,58.69,0.76,77.86
AM247,A247,23.09,17.14,57.31,0.79,89.09
AM248,A248,22.84,18.61,53.08,0.72,72.75
AM249,A249,26.49,18.55,58.73,0.79,85.98
AM250,A250,24.3,12.36,56.4,0.71,74.39
AM251,A251,23.78,11.09,50.34,0.8,79.0
AM252,A252,26.67,15.3,56.88,0.74,75.57
AM253,A253,23.56,16.05,57.77,0.72,77.76
AM254,A254,27.93,12.26,57.11,0.79,87.5
AM255,A255,18.46,10.99,52.56,0.79,73.56
AM256,A256,24.79,15.39,59.33,0.71,86.02
AM257,A257,23.86,18.64,51.42,0.78,89.78
AM258,A258,23.47,18.26,51.79,0.7,74.37
AM259,A259,18.36,14.49,55.61,0.7,75.14
AM260,A260,22.16,13.88,56.06,0.79,72.19
AM261,A261,23.65,12.87,50.36,0.75,82.66
AM262,A262,26.16,13.86,50.93,0.71,79.67
AM263,A263,23.2,7.0,41.79,0.88,97.55
AM264,A264,22.31,18.55,54.55,0.72,80.44
AM265,A265,21.09,15.54,51.67,0.74,80.89
